Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2009-01-02,1.043,1.043,1.043,1.043
2009-01-05,1.1175,1.1175,1.1175,1.1175
2009-01-06,1.125,1.125,1.125,1.125
2009-01-07,1.0075,1.0075,1.0075,1.0075
2009-01-08,1.15,1.15,1.15,1.15
2009-01-09,1.055,1.055,1.055,1.055
2009-01-12,1.043,1.043,1.043,1.043
2009-01-13,1.2414,1.2414,1.2414,1.2414
2009-01-14,1.1377,1.1377,1.1377,1.1377
2009-01-15,1.1492,1.1492,1.1492,1.1492
2009-01-16,1.1422,1.1422,1.1422,1.1422
2009-01-20,1.1193,1.1193,1.1193,1.1193
2009-01-21,1.155,1.155,1.155,1.155
2009-01-22,1.0796,1.0796,1.0796,1.0796
2009-01-23,1.1331,1.1331,1.1331,1.1331
2009-01-26,1.1293,1.1293,1.1293,1.1293
2009-01-27,1.0872,1.0872,1.0872,1.0872
2009-01-28,1.1681,1.1681,1.1681,1.1681
